단어,빈도수
찬양,62
절반,62
당원,62
국물,62
혜택,62
모임,62
초반,62
임기,61
해먹,61
낙선,61
이도,61
결혼,61
특전사,61
남발,61
대가,61
보지,61
창의,61
기록,61
유선,61
축하,61
부담,61
군인,61
콜라,61
특채,61
회장,61
선거일,61
차라리,61
범위,61
동의,61
순진,61
가산,60
전부,60
추미애,60
갤럽,60
분산,60
기사단,60
증명서,60
블랙리스트,60
고위,60
반응,60
할당,60
송금,60
여당,60
당명,60
후손,60
컴퓨터,60
견제,60
주둥이,60
건물,60
재단,60
공교육,60
기자회견,60
고통,60
해대,60
별명,60
이득,60
긴장,60
야비,60
미사일,59
박원순,59
직장,59
개정,59
위반,59
세무,59
실행,59
안티,59
전직,59
차고,59
리가,59
밥그릇,59
여사,59
의대,59
개입,59
따님,59
친일파,58
10억,58
감방,58
밀어,58
최종,58
기권,58
조사의,58
사이비,58
성범죄,58
포장,58
전환,58
선생,58
달인,58
재미,58
종자,58
유세장,58
한참,58
면접,58
모아,58
차악,58
메인,57
한자리,57
평양,57
비겁,57
포퓰리즘,57
이나,57
들통,57
중간,57
범죄자,57
칭찬,57
편파,57
시국,57
세종대왕,57
지율,57
제로,57
흐름,57
엉뚱,57
주의,57
양쪽,57
바다,57
주시,57
스쿨,57
당국,57
인하,57
숟가락,57
강조,57
대학생,56
민이,56
점수,56
참석,56
입시,56
현혹,56
추잡,56
용돈,56
본부장,56
산다,56
현상,56
화합,56
이석기,56
오죽,56
뉴욕,56
방심,56
가지가지,56
고려,56
감옥,56
당론,56
활성,56
퇴출,55
위로,55
사교육,55
개코,55
하니,55
지리,55
품격,55
수상,55
정보원,55
와중,55
당신,55
희생,55
민족,55
입학,55
구성,55
부동,55
파도,55
영혼,55
남북,54
강제,54
특징,54
노래,54
로맨스,54
출산,54
공산주의,54
4월,54
선거법,54
압박,54
광고,54
충성,54
비하,54
세탁,54
차지,54
관계자,54
실업,54
라가,54
작정,54
아주,54
안중,54
발상,54
영부인,53
원인,53
임명,53
한숨,53
매도,53
결국,53
집결,53
육성,53
농민,53
오버,53
위협,53
채널,53
은폐,53
설립,53
늙은이,53
감성,53
시도,53
편향,53
운동권,53
이미나,53
구토,52
파슨스,52
행정,52
재판,52
말장난,52
일반인,52
청탁,52
허허,52
위원장,52
분석,52
꼬리,52
호구,52
전교조,52
시청,52
하하,52
양다리,52
꼰대,52
부문,52
우롱,51
도둑,51
지하철,51
단독,51
기러기,51
제목,51
끝판,51
유언비어,51
다리,51
해체,51
사고방식,51
해주,51
동시,51
이회창,51
먼지,51
홍가,51
용기,51
반값,51
연설문,50
호도,50
줏대,50
교활,50
신도,50
단순,50
지령,50
어눌,50
출처,50
후퇴,50
그림,50
자존심,50
율도,50
상상,50
머릿속,50
기회주의자,50
챨스,50
할아버지,50
꼴찌,50
보나,50
시네,50
혈세,50
운명,49
반영,49
삼겹살,49
등장,49
내면,49
수행,49
조기,49
인도,49
전인권,49
어마어마,49
저도,49
4대강,49
병원,49
구입,49
여부,49
앵커,49
가정,49
타진,49
멘트,49
진다,49
헌법,49
모호,49
배신자,49
정정당당,49
지인,49
좀비,49
다양,49
침묵,49
쥐새끼,49
야합,48
사회자,48
로봇,48
단위,48
관상,48
동물원,48
중립,48
무기,48
정신병자,48
형태,48
석사,48
공산당,48
잔당,48
신선,48
박살,48
수입,48
버스,48
공가,48
사안,48
단계,48
적용,47
사적,47
심정,47
좌익,47
극단,47
정국,47
연예인,47
추종,47
극성,47
합법,47
모랑,47
위안부,47
별거,47
제공,47
10,47
보좌진,47
수다,47
사이버,47
피해자,47
선배,47
불륜,47
말로,47
명심,47
위치,47
사망,47
경력,47
윤리,47
연습,47
산하,47
잡탕,46
거론,46
좋아서,46
기도,46
꼭두각시,46
주민,46
응답자,46
역차별,46
완성,46
여유,46
조문,46
와트,46
탈출,46
폭로,46
민주노총,46
설문,46
일당,46
기타,46
지저분,46
남자들,46
보기,46
도망,46
마시,46
조건,46
소수,46
완벽,46
노친,46
애가,46
심리,46
해당,45
프랑스,45
바리,45
뒤통수,45
행세,45
해프닝,45
사시,45
애매,45
강의,45
합의,45
어쩌라고,45
여태,45
초심,45
황당,45
코스닥,45
감수,45
시인,45
요새,45
성과,45
판결,45
평범,45
연구소,45
활용,45
저녁,45
세월,45
증세,45
선대위,45
파산,45
컨트롤,45
하진,45
공천,45
조원진,45
희한,45
무선,45
장기,45
선수,44
출석,44
지지가,44
민낯,44
연정,44
플레이,44
시급,44
빌딩,44
겸손,44
된다,44
유일,44
은행,44
치사,44
당사자,44
문가,44
인해,44
퍼다,44
강국,44
연방제,44
알단,44
거절,44
흡수,44
원서,44
아드님,44
언행,44
모녀,44
파고,43
자멸,43
절망,43
이공,43
연기,43
애민,43
미만,43
재개,43
노후,43
규정,43
위주,43
수단,43
근성,43
그중,43
작년,43
그런지,43
시대정신,43
논쟁,43
정서,43
실종,43
콘크리트,43
도지사,43
패스,43
발생,43
시험,43
후진국,43
