단어,빈도수
솔직,17
친오빠,17
연애,17
신설,17
살림,17
내부,17
카드,17
말장난,17
신기,17
국고,17
실천,17
방송국,17
사진,17
주니,17
고마,17
헌법,17
사망,17
상처,17
리야,17
적용,16
훼손,16
깡패,16
카페,16
다양,16
자질,16
신선,16
위조,16
수치,16
똥구멍,16
일당,16
쓰레기통,16
전과자,16
자영업자,16
설득,16
대본,16
방해,16
물가,16
균형,16
해대,16
리더,16
두둔,16
고양시,16
말소,16
사리,16
도리,16
주자,16
대인,16
종교,16
해당,16
수입,16
간신,16
생계,16
사석,16
개편,16
포장,16
시각,16
공평,16
경기,16
이명박,16
지식,16
버스,16
욕설,16
실상,16
허구,16
남발,16
숟가락,16
부도,16
검증,16
청원,16
과정,16
논쟁,16
패거리,16
가식,15
덕분,15
이거,15
탄생,15
표심,15
정신병,15
시험,15
실력,15
하락,15
영원,15
유세,15
유일한,15
수장,15
자동차,15
조문,15
파괴,15
구체,15
똘마니,15
약속,15
차지,15
터널,15
이낙연,15
대학,15
도둑놈,15
작전,15
이때,15
선전,15
관광,15
기독교,15
와이프,15
일정,15
모순,15
자본주의,15
앞뒤,15
아주,15
심의,15
공인,15
조건,15
핵심,15
특권,15
기부,15
영역,15
상승,15
똥물,15
노란색,15
김대표,15
나물,15
가관,15
국내,15
충당,15
경선,15
산업,15
차려,15
확장,15
때문에,15
취소,15
복무,15
염치,15
대로,15
호의호식,15
네이버,15
외교,15
자존심,15
전두환,14
일반인,14
모아,14
시가,14
남이,14
시네,14
봉사,14
해석,14
주의,14
인도,14
공략,14
잔머리,14
차장,14
떨거지,14
주사파,14
좋아서,14
채용,14
도우미,14
차라리,14
안정,14
보료,14
가나,14
위원,14
군가,14
수다,14
바른말,14
인터뷰,14
지향,14
농민,14
주인,14
주도,14
무어,14
생각하는,14
가시,14
어른,14
노예,14
험담,14
이중과세,14
미친놈,14
동성,14
빨대,14
유발,14
모름,14
처가,14
청소년,14
관상,14
성찰,14
여권,14
줏대,14
구역질,14
소나,14
양성,14
남녀평등,14
원흉,14
측근,14
만만,14
글자,14
구별,14
인성,14
침몰,14
대출,14
의도,14
실체,14
행복,14
당위,14
민족,14
막말,14
시급,14
오랜만,14
오래간만,14
비겁,14
부과,14
보험료,14
동아리,14
화가,14
실질,14
할당,14
숫자,13
상징,13
정보,13
전부,13
인상,13
중대장,13
무릎,13
면허,13
가석방,13
아저씨,13
증가,13
칭찬,13
우려,13
국방,13
이권,13
캠프,13
권익,13
장본인,13
친일,13
지령,13
악의,13
방문,13
원피스,13
막장,13
당사자,13
허락,13
후배,13
다행,13
합의,13
탄압,13
보조금,13
장천,13
관광객,13
작업,13
쓸개,13
이오,13
규제,13
흉내,13
엉터리,13
추행,13
치료,13
주야,13
공적,13
고소,13
입맛,13
달인,13
상실,13
페니,13
과학,13
뒤안길,13
데스노트,13
자야,13
협조,13
손자,13
꼭두각시,13
실제,13
중간,13
배경,13
다이,13
공천,13
아동,13
인재,13
보소,13
혼란,13
강간,13
간부,13
매국노,13
삽질,13
가면,13
조선족,13
위치,13
소상,13
마시,13
목표,13
침윤,13
고개,13
표창장,13
그전,13
야권,13
부활,13
끝판,13
강력,13
황당,13
보건,13
투자,13
독일,13
만족,13
업무,13
이면,13
주위,13
잣대,13
노망,13
한몫,13
추가,13
촬영,12
충분,12
더듬,12
생산,12
변명,12
행세,12
폐기,12
들통,12
이자,12
따리,12
경쟁력,12
조차,12
애가,12
파업,12
영화,12
특혜,12
제한,12
마이,12
멀쩡,12
분산,12
러시아,12
여태,12
함량,12
심정,12
설마,12
정이나,12
단순,12
전환,12
일관,12
영향,12
안녕,12
새끼,12
명백,12
인증,12
수법,12
에이즈,12
공중부양,12
공중파,12
한말,12
당내,12
분위기,12
비롯,12
병력,12
아집,12
장악,12
형평,12
결사반대,12
꼬리,12
유일,12
양쪽,12
로스쿨,12
자라,12
이서,12
분별,12
폭파,12
박수,12
미화,12
가입,12
판단력,12
결국,12
사생활,12
창출,12
유력,12
차기,12
참신,12
발목,12
여군,12
원님,12
이란,12
안고,12
징글,12
지식인,12
집회,12
영향력,12
추천,12
정상인,12
주접,12
선생,12
추락,12
주류,12
보호구역,12
확보,12
위장,12
구기,12
성과,12
배치,12
페리,12
인원,12
거덜,12
그네,12
성장,12
임종,12
부당,12
연장,12
축하,12
기후,12
유치원,12
피곤,12
접수,11
부강,11
말도,11
심보,11
근성,11
거주,11
시선,11
자로,11
차악,11
벌레,11
지대,11
안주,11
견제,11
해주시,11
말발,11
유럽,11
가사,11
담당,11
민생,11
머릿속,11
적도,11
독재자,11
생존,11
방안,11
수행,11
재미,11
지옥,11
탈탈,11
수도권,11
감성,11
퇴직금,11
금액,11
아내,11
횡령,11
효과,11
자산,11
폭로,11
일등,11
시청률,11
동일,11
밥통,11
후퇴,11
복직,11
붕괴,11
수명,11
임명,11
석도,11
순수,11
요청,11
동물,11
용서,11
무고,11
원전,11
무덤,11
아침,11
타격,11
훌륭,11
근간,11
비열,11
그중,11
만세,11
해달,11
취지,11
김부선,11
기록,11
비서,11
사주,11
발광,11
환장,11
낙선,11
정규,11
순진,11
도망,11
평화,11
장소,11
경기도,11
현사,11
노조원,11
가가,11
논평,11
은행,11
반복,11
하시,11
법사,11
야비,11
그놈,11
도이치,11
법가,11
공시지가,11
큰일,11
설계,11
진지,11
손주,11
공공,11
홍보,11
배신자,11
무늬,11
이리,11
시설,11
구토,11
승인,11
영부인,11
하수인,11
위선자,11
고민정,11
조용,11
혁신,11
대남,11
사시,11
내년,11
당비,11
노동조합,11
어쩌라고,11
윤리,11
김동연,11
실행,11
일해,11
한방,11
한편,11
통제,11
증명,11
죄송,11
